Algorithm,Cost,Time
Algorithm,1061.0,0.001483917
Recursive Knapsack,4380.0,0.014327288
Dynamic,3505.0,0.000999928
Static,5644.0,0.002003193
Algorithm,2191.0,0.00201869
Knapsack,5169.0,0.001004696
Recursive Knapsack,5169.0,0.010878801
Dynamic,5246.0,0.002127647
Static,3565.0,0.001008272
Algorithm,1102.0,0.002188444
Knapsack,4927.0,0.000980377
Recursive Knapsack,4927.0,0.057516813
Dynamic,4114.0,0.002029181
Static,4931.0,0.000999928
Algorithm,1277.0,0.001001358
Knapsack,4611.0,0.000985146
Recursive Knapsack,4611.0,0.011169672
Dynamic,3966.0,0.002308369
Static,6080.0,0.001998186
Algorithm,1205.0,0.00298357
Knapsack,4640.0,0.002131462
Recursive Knapsack,4640.0,0.018419266
Dynamic,3612.0,0.002003193
Static,6065.0,0.002001286
Algorithm,1723.0,0.00216341
Knapsack,4767.0,0.001004219
Recursive Knapsack,4767.0,0.127025604
Dynamic,4818.0,0.001998425
Static,2238.0,0.000999689
Algorithm,1426.0,0.002028227
Knapsack,4970.0,0.001016855
Recursive Knapsack,4970.0,0.036764145
Dynamic,4224.0,0.001983881
Static,4925.0,0.001004696
Algorithm,1245.0,0.001396418
Knapsack,4773.0,0.001215219
Recursive Knapsack,4773.0,0.016005516
Dynamic,4644.0,0.002494097
Static,4424.0,0.002048254
Algorithm,1687.0,0.003000259
Knapsack,4821.0,0.000997782
Recursive Knapsack,4821.0,0.013282776
Dynamic,4659.0,0.002217293
Static,4366.0,0.002233744
Algorithm,1339.0,0.003288746
Knapsack,4712.0,0.001066923
Recursive Knapsack,4712.0,0.02329874
Dynamic,3860.0,0.001862764
Static,6117.0,0.00301218
Algorithm,1272.0,0.001010895
Knapsack,4566.0,0.000998735
Recursive Knapsack,4566.0,0.14731431
Dynamic,4372.0,0.002004385
Static,3161.0,0.002000332
Algorithm,782.0,0.00099802
Knapsack,4558.0,0.00099802
Recursive Knapsack,4558.0,0.017366409
Dynamic,3829.0,0.003020287
Static,6041.0,0.000999212
Algorithm,1795.0,0.001012564
Knapsack,5268.0,0.000999212
Recursive Knapsack,5268.0,0.196234226
Dynamic,4806.0,0.002000093
Static,6236.0,0.001999855
Algorithm,1666.0,0.001485825
Knapsack,4999.0,0.001089811
Recursive Knapsack,4999.0,0.070053101
Dynamic,4876.0,0.001615524
Static,4408.0,0.001030922
Algorithm,1967.0,0.002287388
Knapsack,5212.0,0.001014233
Recursive Knapsack,5212.0,0.008779049
Dynamic,5597.0,0.002395868
Static,5952.0,0.001080036
Algorithm,1123.0,0.002331972
Knapsack,4741.0,0.000997066
Recursive Knapsack,4741.0,0.039859772
Dynamic,4622.0,0.000999451
Static,5422.0,0.00199914
Algorithm,1908.0,0.001994371
Knapsack,5170.0,0.001022816
Recursive Knapsack,5170.0,0.013267517
Dynamic,4788.0,0.001018763
Static,5648.0,0.001053333
Algorithm,903.0,0.002035379
Knapsack,4148.0,0.000985861
Recursive Knapsack,4148.0,0.01429224
Dynamic,2932.0,0.001083374
Static,5314.0,0.003488779
Algorithm,1377.0,0.002472878
Knapsack,4798.0,0.001166582
Recursive Knapsack,4798.0,0.164822817
Dynamic,4026.0,0.001999855
Static,6380.0,0.002000093
Algorithm,1653.0,0.001645088
Knapsack,4664.0,0.000998259
Recursive Knapsack,inf,0.117869139
Dynamic,5076.0,0.002099037
Static,1547.0,0.001055479
Algorithm,2288.0,0.00215292
Knapsack,4910.0,0.001026392
Recursive Knapsack,4910.0,0.007229567
Dynamic,5435.0,0.002381802
Static,2715.0,0.001450062
Algorithm,1640.0,0.001438856
Knapsack,5218.0,0.001010656
Recursive Knapsack,5218.0,0.027950287
Dynamic,4665.0,0.001490831
Static,4348.0,0.002443314
Algorithm,1437.0,0.002525091
Knapsack,4866.0,0.001312494
Recursive Knapsack,4866.0,0.013838768
Dynamic,4324.0,0.002014875
Static,5897.0,0.001996756
Algorithm,1407.0,0.002708197
Recursive Knapsack,5050.0,0.061106205
Dynamic,4036.0,0.002001047
Static,6729.0,0.002131701
Algorithm,1445.0,0.001007795
Knapsack,4795.0,0.001009703
Recursive Knapsack,4795.0,0.215364933
Dynamic,3921.0,0.002065659
Static,6435.0,0.001554012
Algorithm,1358.0,0.001333475
Recursive Knapsack,4462.0,0.267054319
Dynamic,3555.0,0.000999928
Static,4811.0,0.002000093
Algorithm,2065.0,0.001884937
Knapsack,5033.0,0.001009941
Recursive Knapsack,5033.0,0.112314224
Dynamic,5257.0,0.001124144
Static,4237.0,0.001963615
Algorithm,1185.0,0.003386497
Knapsack,4533.0,0.001016855
Recursive Knapsack,4533.0,0.130382299
Dynamic,3519.0,0.001984835
Static,4916.0,0.001308203
Algorithm,1525.0,0.002345324
Knapsack,5150.0,0.001464367
Recursive Knapsack,5150.0,0.127656937
Dynamic,4590.0,0.001999855
Static,4760.0,0.001000643
Algorithm,1581.0,0.00133729
Knapsack,4998.0,0.001008749
Recursive Knapsack,4998.0,0.018313885
Dynamic,4707.0,0.002150059
Static,5001.0,0.00251627
Algorithm,1480.0,0.001000881
Recursive Knapsack,5011.0,0.112271309
Dynamic,4284.0,0.001697302
Static,5268.0,0.002030134
Algorithm,1838.0,0.001009464
Knapsack,5266.0,0.000998259
Recursive Knapsack,5266.0,0.048393488
Dynamic,4595.0,0.001000404
Static,7395.0,0.00199914
Algorithm,1738.0,0.002314806
Knapsack,5132.0,0.001143694
Recursive Knapsack,5132.0,0.007781744
Dynamic,4716.0,0.00139904
Static,6870.0,0.00246191
Algorithm,1371.0,0.001998663
Knapsack,4834.0,0.001003504
Recursive Knapsack,4834.0,0.012502193
Dynamic,4484.0,0.001996517
Static,6010.0,0.001098156
Algorithm,1280.0,0.002409697
Knapsack,4719.0,0.001169682
Recursive Knapsack,4719.0,0.032793283
Dynamic,3187.0,0.002483845
Static,5635.0,0.001065016
Algorithm,1817.0,0.001000643
Knapsack,4707.0,0.001000881
Recursive Knapsack,4707.0,0.015688658
Dynamic,5133.0,0.002010345
Static,2425.0,0.001007318
Algorithm,1867.0,0.003000975
Knapsack,4969.0,0.001462221
Recursive Knapsack,4969.0,0.017583132
Dynamic,4654.0,0.001519442
Static,4817.0,0.000997543
Algorithm,969.0,0.00301218
Knapsack,4719.0,0.001090527
Recursive Knapsack,4719.0,0.040419579
Dynamic,3195.0,0.001999617
Static,6087.0,0.001000404
Algorithm,1866.0,0.001350403
Knapsack,4865.0,0.001018047
Recursive Knapsack,4865.0,0.028062344
Dynamic,4569.0,0.000999928
Static,2580.0,0.002005577
Algorithm,1547.0,0.001171112
Recursive Knapsack,4529.0,0.010839224
Dynamic,5063.0,0.002621412
Static,2755.0,0.002397299
Algorithm,1005.0,0.001443386
Recursive Knapsack,4349.0,0.035357237
Dynamic,3307.0,0.001999855
Static,5091.0,0.001003265
Algorithm,1317.0,0.002001047
Recursive Knapsack,4667.0,0.010435581
Dynamic,4239.0,0.001431942
Static,6286.0,0.001010656
Algorithm,1739.0,0.001022816
Knapsack,4516.0,0.001269817
Recursive Knapsack,4516.0,0.007591963
Dynamic,4979.0,0.001013756
Static,1926.0,0.002519131
Algorithm,1814.0,0.002000093
Knapsack,4918.0,0.001001835
Recursive Knapsack,4918.0,0.118976355
